cdipo2_mmhg,double,null
cdiph_n_a,double,null
cdiarttemp_c,double,null
hgb_g_dl,double,null
hct,double,null
premempress_mmhg,double,null
inletpress_mmhg,double,null
pumpflow_l_min,double,null
rpm_rpm,double,null
mlkg_ml_kg,double,null
co2_ml_min,double,null
fdo2,double,null
sweep_l_min,double,null
do2_ml_min_m2,double,null
pco2_mmhg,double,null
po2_mmhg,double,null
rrset_2_min,double,null
ve_2_l,double,null
pip_2_cmh2o,double,null
ps_above_phigh_2_cmh2o,double,null
backup_pressure_level_above_peep_2_cmh2o,double,null
bivent_support_above_peep_2_cmh2o,double,null
mvin_2_l_min,double,null
spmve_2_l_min,double,null
niv_leakage_fraction_2,double,null
edi_trigger_in_nava_2,double,null
edi_cycle_off_in_nava_2,double,null
pkflset_2_n_a,double,null
edi_trigger_setting_2_n_a,double,null
wobv_2_n_a,double,null
sef_hz,double,null
tp_db,double,null
sr,double,null
perfpo_3_n_a,double,null
perf_3_n_a,double,null
bivent_pressure_support_level_above_peep_2_cmh2o,double,null
breathing_system_leakage_2,double,null
nebulization_remaining_time_2_min,double,null
poccl_2_cmh2o,double,null
spmvex_2_l_min,double,null
tv_kg_2_ml_kg,double,null
imposed_work_of_breathing_2_n_a,double,null
inspiratory_flow_2_n_a,double,null
pulse_spo2_n_a,double,null
ttymp_c,double,null
ttymp_2_c,double,null
hfv_mean_pressure_setting_cmh2o,double,null
hfv_tidal_volume_setting_ml,double,null
hfv_frequency_setting_n_a,double,null
hfv_amplitude_setting_cmh2o,double,null
hfv_amplitude_cmh2o,double,null
hfv_tidal_volume_ml,double,null
spo2_4,double,null
postmempress_mmhg,double,null
deltap_mmhg,double,null
patient_temp_isolette_c,double,null
heater_power_isolette,double,null
device_mode_isolette_n_a,double,null
patient_temp_set_isolette_c,double,null
patient_weight_isolette_n_a,double,null
sensor_resistance_isolette_n_a,double,null
air_temp_isolette_c,double,null
inc_humidity_isolette,double,null
microenv_air_temp_set_isolette_c,double,null
inc_humidity_set_isolette,double,null
o2conc_set_isolette,double,null
o2conc_isolette,double,null
warmer_rel_heat_pwr_isolette,double,null
sound_level_isolette_db,double,null
env_light_level_isolette_n_a,double,null
skin_temp_isolette_c,double,null
mattress_temp_isolette_c,double,null
mattress_temp_set_isolette_c,double,null
patient_temp_isolette_2_c,double,null
t3_c,double,null
patient_temp_isolette_3_c,double,null
nivstat_n_a,double,null
nivstat_2_n_a,double,null
patient_temperature_setting_c,double,null
tair_isolette_c,double,null
temp_as_c,double,null
temp_as_t2_c,double,null
tnaso_2_c,double,null
tv_l,double,null
cdihco3_mmol_l,double,null
spo2po_4,double,null
tcore_3_c,double,null
pulse_spo2_2_bpm,double,null
spo2l_3,double,null
mvleak_l_min,double,null
height_in,double,null
st_v1_mm,double,null
st_v2_mm,double,null
st_v3_mm,double,null
st_v4_mm,double,null
st_v5_mm,double,null
st_v6_mm,double,null
leak_1,double,null
pkflset_l_min,double,null
spmve_l,double,null
